expenditure_category,election_period,amount,reg_no,id
Office Supplies,2010-2012,94.19,CC10132,1
Vehicle,2006-2008,5000.10,CC10132,2
Professional Services,2010-2012,174.28,CC10132,3
Travel & Lodging,2006-2008,3936.06,CC10132,4
Lease/Rent,2008-2010,164110.15,CC10132,5
"Surveys, Polls & Voter Lists",2006-2008,87558.91,CC10132,6
"Surveys, Polls & Voter Lists",2008-2010,197033.93,CC10132,7
Contribution to Community Organization,2008-2010,385.82,CC10132,8
Bank Charges & Adjustments,2006-2008,571.98,CC10132,9
Utilities,2008-2010,47851.79,CC10132,10
Printing,2010-2012,40.25,CC10132,11
Taxes,2010-2012,6801.92,CC10132,12
Taxes,2006-2008,26459.71,CC10132,13
Other,2006-2008,45359.07,CC10132,14
Taxes,2012-2014,1759.25,CC10132,15
Food & Beverages,2006-2008,183894.43,CC10132,16
Postage/Mailing,2012-2014,330.00,CC10132,17
Utilities,2006-2008,12195.48,CC10132,18
Bank Charges & Adjustments,2010-2012,663.65,CC10132,19
Printing,2006-2008,192392.77,CC10132,20
Insurance,2010-2012,680.42,CC10132,21
Printing,2008-2010,380432.22,CC10132,22
Postage/Mailing,2010-2012,780.00,CC10132,23
Advertising,2008-2010,1756886.93,CC10132,24
Professional Services,2006-2008,203979.89,CC10132,25
Vehicle,2008-2010,19939.74,CC10132,26
Durable Assets,2008-2010,8037.15,CC10132,27
Travel & Lodging,2008-2010,72364.45,CC10132,28
Insurance,2006-2008,4393.41,CC10132,29
Filing Fee,2008-2010,750.00,CC10132,30
Utilities,2010-2012,3222.20,CC10132,31
Lease/Rent,2006-2008,65009.60,CC10132,32
Contribution to Political Party,2008-2010,1140.00,CC10132,33
Food & Beverages,2010-2012,3204.48,CC10132,34
Office Supplies,2008-2010,26821.20,CC10132,35
Professional Services,2008-2010,372731.41,CC10132,36
Hawaii Election Campaign Fund,2008-2010,250.00,CC10132,37
Postage/Mailing,2006-2008,69550.91,CC10132,38
Durable Assets,2006-2008,4431.30,CC10132,39
Bank Charges & Adjustments,2008-2010,4420.78,CC10132,40
Other,2008-2010,67413.42,CC10132,41
Food & Beverages,2008-2010,403955.31,CC10132,42
Advertising,2006-2008,1362096.91,CC10132,43
Hawaii Election Campaign Fund,2006-2008,2500.00,CC10132,44
Travel & Lodging,2010-2012,413.79,CC10132,45
Postage/Mailing,2008-2010,68248.61,CC10132,46
