reg_no,candidate_name,office,district,county,party
CC10132,"Hannemann, Mufi",Governor,,,Independent
CC10133,"Aiona, Sam",Honolulu Council,6,Honolulu,Non-Partisan
CC10134,"Apo, Todd",Honolulu Council,1,Honolulu,Non-Partisan
CC10135,"Baker, Rosalyn",Senate,6,,Democrat
CC10136,"Bunda, Robert",Lt. Governor,,,Democrat
CC10137,"Cachola, Romy",House,30,,Democrat
CC10138,"Carlisle, Peter ",Mayor,,Honolulu,Non-Partisan
CC10139,"Duncan, Kaipo ",House,31,,Republican
CC10140,"English, Kalani",Senate,7,,Democrat
CC10141,"Falconer, James ""Kimo"" ",Maui Council,West Maui,Maui,Non-Partisan
CC10142,"Garcia, Nestor",Senate,19,,Democrat
CC10143,"Hanabusa, Colleen ",Senate,21,,Democrat
CC10144,"Hee, Clayton",Senate,23,,Democrat
CC10145,"Hogue, Bob ",Senate,24,,Republican
CC10146,"Hooser, Gary",Kauai Council,Kauai,Kauai,Democrat
CC10147,"Ige, David",Governor,,,Democrat
CC10148,"Inouye, Lorraine",Senate,4,,Democrat
CC10149,"Kanno, Brian  ",BOE,At-Large,,Non-Partisan
CC10150,"Kobayashi, Ann",Honolulu Council,5,Honolulu,Non-Partisan
CC10151,"Marshall, Barbara ",Honolulu Council,3,Honolulu,Non-Partisan
CC10152,"Nishioka, Nadine ",House,24,,Republican
CC10153,"Trimble, Gordon ",Senate,12,,Republican
CC10154,"Turner, Jeff ",Hawaii Council,7,Hawaii,Non-Partisan
CC10155,"Whalen, Paul ",Senate,3,,Republican
CC10156,"Bukoski, Kika ",House,12,,Non-Partisan
CC10157,"Kimura, Jay",Prosecuting Attorney,,Hawaii,Democrat
CC10158,"Menor, Ron",Honolulu Council,9,Honolulu,Democrat
CC10159,"Nishihara, Clarence",Senate,17,,Democrat
CC10160,"Ontai, Guy ",House,37,,Republican
CC10161,"Tulang, Michael ",Hawaii Council,2,Hawaii,Non-Partisan
CC10162,"Aiona, James (Duke)",Governor,,,Republican
CC10163,"Hemmings, Fred ",Senate,25,,Republican
CC10164,"Leong, Keoki ",Senate,24,,Republican
CC10165,"Naauao, Kaui ",OHA,Oahu,,Non-Partisan
CC10166,"Berg, Lyla ",Lt. Governor,,,Democrat
CC10167,"De Costa, Craig ",Prosecuting Attorney,,Kauai,Non-Partisan
CC10168,"Chang, Jerry ",House,2,,Democrat
CC10169,"Chun Oakland, Suzanne",Senate,13,,Democrat
CC10170,"Danner, Robin ",OHA,At-Large,,Non-Partisan
CC10171,"Dela Cruz, Donovan",Senate,22,,Democrat
CC10172,"Ford, Brenda",Hawaii Council,6,Hawaii,Democrat
CC10174,"Green, Josh",Senate,3,,Democrat
CC10175,"Henkin, David ",Lt. Governor,,,Democrat
CC10176,"Hiraki, Ken ",House,28,,Democrat
CC10178,"Ihara, Les Jr.",Senate,10,,Democrat
CC10179,"Ikeda, Donald ",Hawaii Council,2,Hawaii,Democrat
CC10180,"Ito, Ken",House,49,,Democrat
CC10181,"Jacobson, Robert ",Hawaii Council,6,Hawaii,Non-Partisan
CC10182,"Johnson, JoAnne ",Maui Council,10,Maui,Non-Partisan
CC10183,"Kalua, Bernard ",OHA,At-Large,,Non-Partisan
CC10184,"Lee, Marilyn ",House,36,,Democrat
CC10186,"Luke, Sylvia",House,25,,Democrat
CC10187,"Kokubun, Russell ",Senate,2,,Democrat
CC10188,"Magaoay, Michael ",House,45,,Democrat
CC10189,"Mateo, Danny ",Maui Council,Molokai,Maui,Democrat
CC10190,"Nishimoto, Scott ",House,21,,Democrat
CC10191,"Oshiro, Marcus",House,46,,Democrat
CC10192,"Pontanilla, Joseph",House,9,,Democrat
CC10193,"Rapozo, Melvin",Kauai Council,At-Large,Kauai,Democrat
CC10194,"Rezentes, Cynthia",House,43,,Democrat
CC10195,"Rhoads, Karl",House,29,,Democrat
CC10196,"Richman, Monroe ",Kauai Council,Kauai,Kauai,Republican
CC10197,"Saiki, Scott",House,26,,Democrat
CC10198,"Sakamoto, Norman",Lt. Governor,,,Democrat
CC10199,"Sanborn, J. William ",BOE,At-Large,,Non-Partisan
CC10200,"Saunders, Rex",House,23,,Democrat
CC10201,"Shimabukuro, Maile",Senate,21,,Democrat
CC10202,"Smith, Paul ",Senate,13,,Republican
CC10203,"Takamine, Dwight ",Senate,1,,Democrat
CC10204,"Taniguchi, Brian",Senate,11,,Democrat
CC10205,"Thielen, Cynthia",House,50,,Republican
CC10206,"Tom, Robert ",House,26,,Republican
CC10207,"Meyer, Colleen",Senate,23,,Republican
CC10208,"Wakai, Glenn",Senate,15,,Democrat
CC10209,"Ward, Gene",House,17,,Republican
CC10210,"Smith, Andy ",House,6,,Republican
CC10211,"Abinsay, Felipe (Jun)",House,29,,Democrat
CC10213,"Hamakawa, Eric ",House,3,,Democrat
CC10214,"Waihee, John",OHA,At-Large,,Democrat
CC10215,"Aila, William",Governor,,,Democrat
CC10216,"Kawamoto, Cal ",Senate,18,,Democrat
CC10217,"Tsuji, Clifton",House,2,,Democrat
CC10218,"Akana, Rowena",OHA,At-Large,,Non-Partisan
CC10219,"Moses, Mark",House,40,,Republican
CC10221,"Finnegan, Lynn",Lt. Governor,,,Republican
CC10222,"Cachola, Earl ",House,29,,Democrat
CC10223,"Lingle, Linda ",Governor,,,Republican
CC10224,"Caldwell, Kirk",Mayor,,Honolulu,Non-Partisan
CC10225,"Hew Len, Kehaulani ",OHA,Oahu,,Democrat
CC10226,"Kouchi, Ron",Senate,8,,Democrat
CC10227,"Wilcox, Mike ",Honolulu Council,6,Honolulu,Non-Partisan
CC10228,"Alameida, Jeffrey ",House,46,,Republican
CC10229,"Espero, William",Senate,19,,Democrat
CC10230,"Say, Calvin",House,20,,Democrat
CC10231,"Sonson, Alex ",Senate,18,,Democrat
