expenditure_category,election_period,amount,reg_no,id
Office Supplies,2006-2008,67.27,CC10496,1
Bank Charges & Adjustments,2006-2008,10.00,CC10496,2
Contribution to Community Organization,2006-2008,75.00,CC10496,3
Postage/Mailing,2006-2008,1849.35,CC10496,4
Advertising,2006-2008,478.01,CC10496,5
Food & Beverages,2006-2008,8.55,CC10496,6
Other,2006-2008,1632.46,CC10496,7
Printing,2006-2008,1737.03,CC10496,8
Vehicle,2008-2010,500.00,CC10529,9
Advertising,2010-2012,1711.60,CC10529,10
Candidate Fundraiser Tickets,2008-2010,55.81,CC10529,11
Taxes,2012-2014,26170.91,CC10529,12
Filing Fee,2008-2010,3150.60,CC10529,13
Durable Assets,2010-2012,396.00,CC10529,14
Taxes,2010-2012,109258.97,CC10529,15
Vehicle,2010-2012,250.00,CC10529,16
"Surveys, Polls & Voter Lists",2010-2012,27222.00,CC10529,17
Contribution to Community Organization,2010-2012,1800.00,CC10529,18
Printing,2012-2014,7483.10,CC10529,19
Taxes,2008-2010,183648.97,CC10529,20
Postage/Mailing,2010-2012,5023.66,CC10529,21
Insurance,2012-2014,9412.40,CC10529,22
Travel & Lodging,2010-2012,31314.45,CC10529,23
Durable Assets,2008-2010,1090.86,CC10529,24
Office Supplies,2010-2012,3087.44,CC10529,25
Contribution to Community Organization,2008-2010,200.00,CC10529,26
Utilities,2012-2014,13400.39,CC10529,27
Travel & Lodging,2008-2010,53029.99,CC10529,28
Advertising,2012-2014,5011.93,CC10529,29
Professional Services,2010-2012,255801.86,CC10529,30
Travel & Lodging,2012-2014,22674.83,CC10529,31
Office Supplies,2012-2014,1172.06,CC10529,32
Employee Services,2012-2014,39253.30,CC10529,33
Postage/Mailing,2012-2014,5493.55,CC10529,34
Professional Services,2012-2014,125935.16,CC10529,35
Lease/Rent,2012-2014,60784.40,CC10529,36
Hawaii Election Campaign Fund,2012-2014,25000.00,CC10529,37
"Surveys, Polls & Voter Lists",2008-2010,69459.30,CC10529,38
Contribution to Political Party,2010-2012,20000.00,CC10529,39
Bank Charges & Adjustments,2008-2010,35400.18,CC10529,40
Food & Beverages,2012-2014,42757.71,CC10529,41
Food & Beverages,2010-2012,244570.30,CC10529,42
Bank Charges & Adjustments,2012-2014,8266.14,CC10529,43
"Surveys, Polls & Voter Lists",2012-2014,55215.25,CC10529,44
Utilities,2010-2012,36963.23,CC10529,45
Postage/Mailing,2008-2010,85592.93,CC10529,46
Insurance,2008-2010,39303.41,CC10529,47
Insurance,2010-2012,8953.06,CC10529,48
Bank Charges & Adjustments,2010-2012,5789.34,CC10529,49
Utilities,2008-2010,32889.33,CC10529,50
Other,2012-2014,43488.63,CC10529,51
Printing,2008-2010,97314.91,CC10529,52
Printing,2010-2012,10259.21,CC10529,53
Other,2010-2012,49246.97,CC10529,54
Lease/Rent,2010-2012,94713.16,CC10529,55
Office Supplies,2008-2010,12067.04,CC10529,56
Lease/Rent,2008-2010,170191.78,CC10529,57
Employee Services,2010-2012,94416.49,CC10529,58
Other,2008-2010,154281.71,CC10529,59
Employee Services,2008-2010,231947.52,CC10529,60
Advertising,2008-2010,1504705.24,CC10529,61
Professional Services,2008-2010,592131.26,CC10529,62
Food & Beverages,2008-2010,319932.77,CC10529,63
Bank Charges & Adjustments,2012-2014,74.09,CC10211,64
Filing Fee,2006-2008,50.00,CC10314,65
Postage/Mailing,2006-2008,84.00,CC10499,66
Bank Charges & Adjustments,2006-2008,148.00,CC10499,67
Printing,2006-2008,943.23,CC10499,68
"Surveys, Polls & Voter Lists",2006-2008,127.75,CC10499,69
Office Supplies,2006-2008,654.65,CC10499,70
Advertising,2006-2008,4629.56,CC10314,71
Advertising,2006-2008,11087.67,CC10499,72
Contribution to Political Party,2006-2008,2093.48,CC10314,73
Filing Fee,2010-2012,250.00,CC10864,74
Printing,2010-2012,10194.02,CC10864,75
Candidate Fundraiser Tickets,2010-2012,579.06,CC10864,76
Professional Services,2010-2012,391.88,CC10864,77
Postage/Mailing,2010-2012,262.19,CC10864,78
Office Supplies,2010-2012,344.24,CC10864,79
Bank Charges & Adjustments,2010-2012,14.00,CC10864,80
Advertising,2010-2012,11333.71,CC10864,81
Advertising,2012-2014,71.92,CC10967,82
Professional Services,2010-2012,106.85,CC10967,83
Bank Charges & Adjustments,2010-2012,43.43,CC10967,84
Other,2010-2012,71.22,CC10967,85
Food & Beverages,2010-2012,2397.34,CC10967,86
Travel & Lodging,2012-2014,352.00,CC10967,87
Advertising,2010-2012,11024.00,CC10967,88
Travel & Lodging,2010-2012,975.07,CC10967,89
Other,2012-2014,200.00,CC10967,90
Candidate Fundraiser Tickets,2008-2010,50.00,CC10215,91
Travel & Lodging,2010-2012,711.06,CC10215,92
Other,2010-2012,350.00,CC10215,93
Advertising,2006-2008,2388.44,CC10434,94
Travel & Lodging,2012-2014,223.00,CC10162,95
Employee Services,2006-2008,234706.66,CC10162,96
Professional Services,2012-2014,632.90,CC10162,97
Other,2012-2014,1127.73,CC10162,98
Candidate Fundraiser Tickets,2010-2012,1000.00,CC10162,99
"Surveys, Polls & Voter Lists",2010-2012,284.00,CC10162,100
Taxes,2010-2012,8538.05,CC10162,101
Taxes,2006-2008,112495.59,CC10162,102
Lease/Rent,2010-2012,1536.03,CC10162,103
Contribution to Political Party,2012-2014,2500.00,CC10162,104
Contribution to Political Party,2006-2008,500.00,CC10162,105
Lease/Rent,2006-2008,8734.52,CC10162,106
Contribution to Political Party,2010-2012,11000.00,CC10162,107
Travel & Lodging,2010-2012,4337.45,CC10162,108
Vehicle,2006-2008,14.00,CC10162,109
Office Supplies,2010-2012,567.78,CC10162,110
Taxes,2008-2010,190238.23,CC10162,111
Advertising,2010-2012,5577.47,CC10162,112
Insurance,2010-2012,1533.50,CC10162,113
Insurance,2006-2008,9704.54,CC10162,114
Insurance,2008-2010,20456.15,CC10162,115
"Surveys, Polls & Voter Lists",2006-2008,3576.46,CC10162,116
Bank Charges & Adjustments,2006-2008,19722.14,CC10162,117
Utilities,2006-2008,10642.41,CC10162,118
Printing,2010-2012,1293.53,CC10162,119
Postage/Mailing,2010-2012,2311.19,CC10162,120
Durable Assets,2008-2010,6210.94,CC10162,121
"Surveys, Polls & Voter Lists",2008-2010,64280.04,CC10162,122
Professional Services,2010-2012,37545.19,CC10162,123
Lease/Rent,2008-2010,67112.56,CC10162,124
Utilities,2008-2010,31349.80,CC10162,125
Utilities,2010-2012,5284.82,CC10162,126
Advertising,2008-2010,600221.35,CC10162,127
Filing Fee,2008-2010,1186.46,CC10162,128
Other,2010-2012,5677.32,CC10162,129
Food & Beverages,2010-2012,10147.51,CC10162,130
Postage/Mailing,2008-2010,46530.68,CC10162,131
Employee Services,2010-2012,13963.33,CC10162,132
Employee Services,2008-2010,319589.95,CC10162,133
Bank Charges & Adjustments,2008-2010,57480.46,CC10162,134
Office Supplies,2006-2008,4011.20,CC10162,135
Office Supplies,2008-2010,9937.16,CC10162,136
Bank Charges & Adjustments,2010-2012,5125.42,CC10162,137
Bank Charges & Adjustments,2012-2014,36.00,CC10162,138
Professional Services,2008-2010,554798.42,CC10162,139
Postage/Mailing,2006-2008,32882.10,CC10162,140
Travel & Lodging,2006-2008,21934.81,CC10162,141
Travel & Lodging,2008-2010,122907.35,CC10162,142
Printing,2008-2010,154072.79,CC10162,143
Printing,2006-2008,116743.80,CC10162,144
Professional Services,2006-2008,109398.98,CC10162,145
Other,2008-2010,155307.28,CC10162,146
Hawaii Election Campaign Fund,2006-2008,50.00,CC10162,147
Hawaii Election Campaign Fund,2008-2010,6000.00,CC10162,148
Other,2006-2008,78891.12,CC10162,149
Durable Assets,2006-2008,460.68,CC10162,150
Food & Beverages,2008-2010,131216.36,CC10162,151
Food & Beverages,2006-2008,120991.07,CC10162,152
Food & Beverages,2008-2010,156.20,CC10763,153
Food & Beverages,2010-2012,43.00,CC10763,154
Other,2010-2012,42.93,CC10133,155
Professional Services,2012-2014,1340.69,CC10133,156
Food & Beverages,2012-2014,400.00,CC10133,157
Postage/Mailing,2010-2012,21901.29,CC10133,158
Food & Beverages,2010-2012,2467.13,CC10133,159
Bank Charges & Adjustments,2010-2012,402.84,CC10133,160
Bank Charges & Adjustments,2012-2014,79.26,CC10133,161
Professional Services,2010-2012,13997.75,CC10133,162
Office Supplies,2010-2012,114.24,CC10133,163
Printing,2010-2012,23035.96,CC10133,164
Postage/Mailing,2006-2008,1409.35,CC10343,165
Postage/Mailing,2010-2012,1315.47,CC10902,166
Filing Fee,2010-2012,25.00,CC10902,167
Other,2010-2012,556.12,CC10902,168
"Surveys, Polls & Voter Lists",2010-2012,158.00,CC10902,169
Printing,2010-2012,1880.00,CC10902,170
Advertising,2010-2012,870.16,CC10902,171
Vehicle,2010-2012,70.02,CC10902,172
Food & Beverages,2010-2012,1534.53,CC10902,173
Lease/Rent,2006-2008,1456.60,CC10343,174
Candidate Fundraiser Tickets,2006-2008,200.00,CC10343,175
Advertising,2006-2008,1419.89,CC10343,176
Bank Charges & Adjustments,2006-2008,74.15,CC10343,177
Other,2006-2008,1420.00,CC10343,178
Printing,2006-2008,9438.59,CC10343,179
Food & Beverages,2006-2008,2582.22,CC10343,180
Contribution to Political Party,2010-2012,250.00,CC10966,181
Other,2010-2012,150.00,CC10966,182
Hawaii Election Campaign Fund,2010-2012,17.00,CC10966,183
Postage/Mailing,2010-2012,24.00,CC10966,184
Travel & Lodging,2010-2012,189.00,CC10966,185
Office Supplies,2010-2012,16.84,CC10966,186
Advertising,2010-2012,5188.51,CC10966,187
Food & Beverages,2010-2012,107.18,CC10966,188
Filing Fee,2008-2010,25.00,CC10218,189
Bank Charges & Adjustments,2006-2008,10.00,CC10218,190
Bank Charges & Adjustments,2010-2012,78.00,CC10218,191
Bank Charges & Adjustments,2008-2010,20.00,CC10218,192
Hawaii Election Campaign Fund,2008-2010,19932.33,CC10218,193
Filing Fee,2010-2012,70.00,CC10218,194
Food & Beverages,2008-2010,301.25,CC10218,195
Postage/Mailing,2010-2012,45.00,CC10950,196
Office Supplies,2010-2012,102.27,CC10950,197
Filing Fee,2010-2012,25.00,CC10950,198
Other,2008-2010,538.86,CC10748,199
Food & Beverages,2008-2010,51.95,CC10748,200
Durable Assets,2008-2010,35.99,CC10748,201
Postage/Mailing,2008-2010,87.50,CC10748,202
Printing,2008-2010,1835.80,CC10748,203
Office Supplies,2008-2010,129.67,CC10748,204
Professional Services,2012-2014,6.02,CC10945,205
Professional Services,2010-2012,2685.26,CC10945,206
Advertising,2012-2014,1410.00,CC10945,207
Lease/Rent,2012-2014,45.00,CC10945,208
Utilities,2010-2012,169.24,CC10945,209
Lease/Rent,2010-2012,167.54,CC10945,210
Advertising,2010-2012,14271.08,CC10945,211
Office Supplies,2012-2014,4.97,CC10945,212
Contribution to Community Organization,2012-2014,150.00,CC10945,213
Bank Charges & Adjustments,2010-2012,39.00,CC10945,214
Bank Charges & Adjustments,2012-2014,12.00,CC10945,215
Travel & Lodging,2010-2012,690.96,CC10945,216
Travel & Lodging,2012-2014,13.00,CC10945,217
Other,2010-2012,496.35,CC10945,218
Office Supplies,2010-2012,205.86,CC10945,219
Contribution to Community Organization,2010-2012,50.00,CC10945,220
Postage/Mailing,2012-2014,102.10,CC10945,221
