expenditure_category,election_period,amount,reg_no,id
Hawaii Election Campaign Fund,2006-2008,2500,CC10132,1
Bank Charges & Adjustments,2006-2008,571.98,CC10132,2
"Surveys, Polls & Voter Lists",2006-2008,87558.91,CC10132,3
Insurance,2006-2008,4393.41,CC10132,4
Filing Fee,2006-2008,500,CC10132,5
Postage/Mailing,2006-2008,69550.91,CC10132,6
Advertising,2006-2008,1362096.91,CC10132,7
Vehicle,2006-2008,5000.1,CC10132,8
Professional Services,2006-2008,203979.89,CC10132,9
Travel & Lodging,2006-2008,3936.06,CC10132,10
Lease/Rent,2006-2008,65009.6,CC10132,11
Durable Assets,2006-2008,4431.3,CC10132,12
Printing,2006-2008,192392.77,CC10132,13
Taxes,2006-2008,26459.71,CC10132,14
Utilities,2006-2008,12195.48,CC10132,15
Other,2006-2008,45359.07,CC10132,16
Office Supplies,2006-2008,6579.06,CC10132,17
Food & Beverages,2006-2008,183894.43,CC10132,18
Filing Fee,2008-2010,750,CC10132,19
Hawaii Election Campaign Fund,2008-2010,250,CC10132,20
Insurance,2008-2010,3931.98,CC10132,21
Contribution to Political Party,2008-2010,1140,CC10132,22
"Surveys, Polls & Voter Lists",2008-2010,197033.93,CC10132,23
Durable Assets,2008-2010,8037.15,CC10132,24
Taxes,2008-2010,15663.22,CC10132,25
Bank Charges & Adjustments,2008-2010,4420.78,CC10132,26
Contribution to Community Organization,2008-2010,385.82,CC10132,27
Utilities,2008-2010,47851.79,CC10132,28
Printing,2008-2010,380432.22,CC10132,29
Vehicle,2008-2010,19939.74,CC10132,30
Advertising,2008-2010,1756886.93,CC10132,31
Professional Services,2008-2010,362731.41,CC10132,32
Office Supplies,2008-2010,26821.2,CC10132,33
Postage/Mailing,2008-2010,68248.61,CC10132,34
Travel & Lodging,2008-2010,72364.45,CC10132,35
Lease/Rent,2008-2010,164110.15,CC10132,36
Other,2008-2010,67413.42,CC10132,37
Food & Beverages,2008-2010,403955.31,CC10132,38
Bank Charges & Adjustments,2010-2012,663.65,CC10132,39
Insurance,2010-2012,680.42,CC10132,40
Printing,2010-2012,40.25,CC10132,41
Travel & Lodging,2010-2012,413.79,CC10132,42
Postage/Mailing,2010-2012,780,CC10132,43
Office Supplies,2010-2012,94.19,CC10132,44
Taxes,2010-2012,6801.92,CC10132,45
Other,2010-2012,1961.65,CC10132,46
Lease/Rent,2010-2012,4957.66,CC10132,47
Utilities,2010-2012,3222.2,CC10132,48
Professional Services,2010-2012,174.28,CC10132,49
Food & Beverages,2010-2012,3204.48,CC10132,50
Filing Fee,2012-2014,75,CC10132,51
Taxes,2012-2014,1759.25,CC10132,52
Insurance,2012-2014,1615.52,CC10132,53
Office Supplies,2012-2014,1070.02,CC10132,54
Lease/Rent,2012-2014,14367.29,CC10132,55
"Surveys, Polls & Voter Lists",2012-2014,8696.68,CC10132,56
Utilities,2012-2014,7689.17,CC10132,57
Other,2012-2014,3589.29,CC10132,58
Professional Services,2012-2014,21225.01,CC10132,59
Postage/Mailing,2012-2014,3404,CC10132,60
Food & Beverages,2012-2014,13255.24,CC10132,61
Contribution to Community Organization,2012-2014,50,CC10132,62
Advertising,2012-2014,159114.43,CC10132,63
Bank Charges & Adjustments,2012-2014,430.73,CC10132,64
Travel & Lodging,2012-2014,8508.18,CC10132,65
Printing,2012-2014,15272.56,CC10132,66
"Surveys, Polls & Voter Lists",2014-2016,6261.78,CC10132,67
Bank Charges & Adjustments,2014-2016,864.01,CC10132,68
Travel & Lodging,2014-2016,536.4,CC10132,69
Advertising,2014-2016,2134.82,CC10132,70
Other,2014-2016,1384.82,CC10132,71
Professional Services,2014-2016,460.51,CC10132,72
Utilities,2014-2016,4800.04,CC10132,73
Office Supplies,2014-2016,293.11,CC10132,74
Postage/Mailing,2014-2016,760.65,CC10132,75
Printing,2014-2016,112.99,CC10132,76
Bank Charges & Adjustments,2016-2018,155.88,CC10132,77
Postage/Mailing,2016-2018,178,CC10132,78
Other,2010-2012,42.93,CC10133,79
Postage/Mailing,2010-2012,21901.29,CC10133,80
Food & Beverages,2010-2012,2467.13,CC10133,81
Professional Services,2010-2012,13997.75,CC10133,82
Office Supplies,2010-2012,114.24,CC10133,83
Printing,2010-2012,23035.96,CC10133,84
Bank Charges & Adjustments,2010-2012,402.84,CC10133,85
Filing Fee,2012-2014,250,CC10133,86
Postage/Mailing,2012-2014,11644.22,CC10133,87
Professional Services,2012-2014,4387.11,CC10133,88
Bank Charges & Adjustments,2012-2014,464.99,CC10133,89
Printing,2012-2014,13659.26,CC10133,90
Other,2012-2014,890.05,CC10133,91
Food & Beverages,2012-2014,3250,CC10133,92
Bank Charges & Adjustments,2014-2016,26.95,CC10133,93
Professional Services,2014-2016,317.48,CC10133,94
Other,2014-2016,292.05,CC10133,95
Postage/Mailing,2006-2008,339,CC10134,96
Hawaii Election Campaign Fund,2006-2008,1000,CC10134,97
Printing,2006-2008,18488.16,CC10134,98
"Surveys, Polls & Voter Lists",2006-2008,444.73,CC10134,99
Advertising,2006-2008,5187.36,CC10134,100
Utilities,2006-2008,43.96,CC10134,101
Lease/Rent,2006-2008,250,CC10134,102
Professional Services,2006-2008,5445.11,CC10134,103
Durable Assets,2006-2008,8282.61,CC10134,104
Food & Beverages,2006-2008,6929.98,CC10134,105
Filing Fee,2006-2008,250,CC10134,106
Office Supplies,2006-2008,2722.5,CC10134,107
Other,2006-2008,3252.38,CC10134,108
Bank Charges & Adjustments,2006-2008,5,CC10134,109
Other,2008-2010,239.59,CC10134,110
Advertising,2008-2010,1040.99,CC10134,111
Professional Services,2008-2010,2967.26,CC10134,112
Food & Beverages,2008-2010,63.87,CC10134,113
Contribution to Community Organization,2008-2010,782.49,CC10134,114
Professional Services,2010-2012,3386.38,CC10134,115
Other,2010-2012,56100,CC10134,116
Contribution to Community Organization,2010-2012,12500,CC10134,117
Hawaii Election Campaign Fund,2012-2014,2875,CC10134,118
Professional Services,2012-2014,825,CC10134,119
Other,2012-2014,2000,CC10134,120
Contribution to Community Organization,2012-2014,4000,CC10134,121
"Surveys, Polls & Voter Lists",2006-2008,12722.72,CC10135,122
Lease/Rent,2006-2008,1509.42,CC10135,123
Vehicle,2006-2008,5425.15,CC10135,124
Filing Fee,2006-2008,258,CC10135,125
Bank Charges & Adjustments,2006-2008,31,CC10135,126
Professional Services,2006-2008,96429.4,CC10135,127
Utilities,2006-2008,168.04,CC10135,128
Travel & Lodging,2006-2008,1689.98,CC10135,129
Advertising,2006-2008,38855.34,CC10135,130
Postage/Mailing,2006-2008,1275.92,CC10135,131
Office Supplies,2006-2008,1291.81,CC10135,132
Other,2006-2008,8887.62,CC10135,133
Food & Beverages,2006-2008,9067.91,CC10135,134
Candidate Fundraiser Tickets,2006-2008,200,CC10135,135
Printing,2006-2008,3645.49,CC10135,136
Contribution to Political Party,2006-2008,500,CC10135,137
Contribution to Community Organization,2006-2008,1120,CC10135,138
Vehicle,2008-2010,1253.15,CC10135,139
Lease/Rent,2008-2010,542.42,CC10135,140
Postage/Mailing,2008-2010,289.22,CC10135,141
Advertising,2008-2010,2824.04,CC10135,142
Contribution to Political Party,2008-2010,750,CC10135,143
Candidate Fundraiser Tickets,2008-2010,2250,CC10135,144
Travel & Lodging,2008-2010,1784.93,CC10135,145
Professional Services,2008-2010,9698.66,CC10135,146
Office Supplies,2008-2010,1278.7,CC10135,147
Other,2008-2010,2979.35,CC10135,148
Food & Beverages,2008-2010,4604.43,CC10135,149
Contribution to Community Organization,2008-2010,1840,CC10135,150
Candidate Fundraiser Tickets,2010-2012,500,CC10135,151
Lease/Rent,2010-2012,156.25,CC10135,152
Vehicle,2010-2012,2329.88,CC10135,153
Bank Charges & Adjustments,2010-2012,61.97,CC10135,154
Filing Fee,2010-2012,258,CC10135,155
Postage/Mailing,2010-2012,448.91,CC10135,156
"Surveys, Polls & Voter Lists",2010-2012,1000,CC10135,157
Travel & Lodging,2010-2012,1359.82,CC10135,158
Contribution to Political Party,2010-2012,1805,CC10135,159
Printing,2010-2012,1139.53,CC10135,160
Advertising,2010-2012,13440.38,CC10135,161
Contribution to Community Organization,2010-2012,2605,CC10135,162
Office Supplies,2010-2012,711.15,CC10135,163
Professional Services,2010-2012,32443.26,CC10135,164
Other,2010-2012,4320.66,CC10135,165
Food & Beverages,2010-2012,12226.65,CC10135,166
Vehicle,2012-2014,2894.49,CC10135,167
"Surveys, Polls & Voter Lists",2012-2014,22382.19,CC10135,168
Lease/Rent,2012-2014,1347.9,CC10135,169
Bank Charges & Adjustments,2012-2014,7,CC10135,170
Filing Fee,2012-2014,260,CC10135,171
Professional Services,2012-2014,56768.01,CC10135,172
Contribution to Political Party,2012-2014,4000,CC10135,173
Travel & Lodging,2012-2014,354.4,CC10135,174
Postage/Mailing,2012-2014,13165.1,CC10135,175
Printing,2012-2014,1583.7,CC10135,176
Office Supplies,2012-2014,1110.18,CC10135,177
Advertising,2012-2014,45199.82,CC10135,178
Contribution to Community Organization,2012-2014,3345,CC10135,179
Candidate Fundraiser Tickets,2012-2014,6500,CC10135,180
Food & Beverages,2012-2014,12475.66,CC10135,181
Other,2012-2014,4326.13,CC10135,182
Vehicle,2014-2016,1070.34,CC10135,183
Printing,2014-2016,61.87,CC10135,184
Postage/Mailing,2014-2016,147,CC10135,185
Office Supplies,2014-2016,309.29,CC10135,186
Bank Charges & Adjustments,2014-2016,168.26,CC10135,187
Lease/Rent,2014-2016,1738.53,CC10135,188
Travel & Lodging,2014-2016,935.22,CC10135,189
Contribution to Political Party,2014-2016,1792.98,CC10135,190
Other,2014-2016,4531.24,CC10135,191
Professional Services,2014-2016,2096.71,CC10135,192
Advertising,2014-2016,7446.66,CC10135,193
Candidate Fundraiser Tickets,2014-2016,1225,CC10135,194
Contribution to Community Organization,2014-2016,8517.06,CC10135,195
Food & Beverages,2014-2016,9183.72,CC10135,196
Office Supplies,2016-2018,49.23,CC10135,197
Postage/Mailing,2016-2018,90.05,CC10135,198
Contribution to Community Organization,2016-2018,300,CC10135,199
Other,2016-2018,20.63,CC10135,200
Lease/Rent,2016-2018,552.1,CC10135,201
Professional Services,2016-2018,364.05,CC10135,202
Advertising,2016-2018,2263.44,CC10135,203
Food & Beverages,2016-2018,3179.86,CC10135,204
Postage/Mailing,2006-2008,3659.6,CC10136,205
Advertising,2006-2008,3159.16,CC10136,206
Office Supplies,2006-2008,99.44,CC10136,207
Printing,2006-2008,1536.13,CC10136,208
Food & Beverages,2006-2008,1314.9,CC10136,209
Durable Assets,2006-2008,4719.11,CC10136,210
Lease/Rent,2006-2008,108,CC10136,211
Contribution to Political Party,2006-2008,2150,CC10136,212
Other,2006-2008,480,CC10136,213
