expenditure_category,election_period,amount,reg_no,id
"Advertising, Media & Collateral Materials",2004-2008,1362096.91,CC10132,1
"Contract, Employee & Professional Services",2004-2008,203979.89,CC10132,2
Other,2004-2008,45359.07,CC10132,3
"Surveys, Polls, Research & Voter Lists",2004-2008,87558.91,CC10132,4
Insurance,2004-2008,4393.41,CC10132,5
"Filing Fee, Escheat, Fine",2004-2008,500.00,CC10132,6
Utilities,2004-2008,12195.48,CC10132,7
"Bank Charges, Merchant Fees & Adjustments",2004-2008,571.98,CC10132,8
Office Supplies,2004-2008,6579.06,CC10132,9
Postage/Mailing,2004-2008,69550.91,CC10132,10
Taxes & Insurance,2004-2008,26459.71,CC10132,11
"Vehicle, Gas & Parking",2004-2008,5000.10,CC10132,12
Food & Beverages,2004-2008,183894.43,CC10132,13
Hawaii Election Campaign Fund,2004-2008,2500.00,CC10132,14
Durable Assets (Supplies/Equipment),2004-2008,4431.30,CC10132,15
Campaign Headquarters,2004-2008,65009.60,CC10132,16
"Printing, Postage, Mailing & Freight",2004-2008,192392.77,CC10132,17
Travel & Lodging,2004-2008,3936.06,CC10132,18
Campaign Headquarters,2008-2010,164110.15,CC10132,19
Contribution to Political Party,2008-2010,1140.00,CC10132,20
Utilities,2008-2010,47851.79,CC10132,21
"Filing Fee, Escheat, Fine",2008-2010,750.00,CC10132,22
"Advertising, Media & Collateral Materials",2008-2010,1756886.93,CC10132,23
Donations,2008-2010,385.82,CC10132,24
"Bank Charges, Merchant Fees & Adjustments",2008-2010,4420.78,CC10132,25
Insurance,2008-2010,3931.98,CC10132,26
"Vehicle, Gas & Parking",2008-2010,19939.74,CC10132,27
Travel & Lodging,2008-2010,72364.45,CC10132,28
Durable Assets (Supplies/Equipment),2008-2010,8037.15,CC10132,29
Office Supplies,2008-2010,26821.20,CC10132,30
Hawaii Election Campaign Fund,2008-2010,250.00,CC10132,31
"Printing, Postage, Mailing & Freight",2008-2010,380432.22,CC10132,32
Other,2008-2010,67413.42,CC10132,33
