Reg No,Expenditure Category,Election Period,sum_amount
CC10132,Hawaii Election Campaign Fund,2006-2008,2500
CC10132,Bank Charges & Adjustments,2006-2008,571.98
CC10132,"Surveys, Polls & Voter Lists",2006-2008,87558.91
CC10132,Insurance,2006-2008,4393.41
CC10132,Filing Fee,2006-2008,500
CC10132,Postage/Mailing,2006-2008,69550.91
CC10132,Advertising,2006-2008,1362096.91
CC10132,Vehicle,2006-2008,5000.1
CC10132,Professional Services,2006-2008,203979.89
CC10132,Travel & Lodging,2006-2008,3936.06
CC10132,Lease/Rent,2006-2008,65009.6
CC10132,Durable Assets,2006-2008,4431.3
CC10132,Printing,2006-2008,192392.77
CC10132,Taxes,2006-2008,26459.71
CC10132,Utilities,2006-2008,12195.48
CC10132,Other,2006-2008,45359.07
CC10132,Office Supplies,2006-2008,6579.06
CC10132,Food & Beverages,2006-2008,183894.43
CC10132,Filing Fee,2008-2010,750
CC10132,Hawaii Election Campaign Fund,2008-2010,250
CC10132,Insurance,2008-2010,3931.98
CC10132,Contribution to Political Party,2008-2010,1140
CC10132,"Surveys, Polls & Voter Lists",2008-2010,197033.93
CC10132,Durable Assets,2008-2010,8037.15
CC10132,Taxes,2008-2010,15663.22
CC10132,Bank Charges & Adjustments,2008-2010,4420.78
CC10132,Contribution to Community Organization,2008-2010,385.82
CC10132,Utilities,2008-2010,47851.79
CC10132,Printing,2008-2010,380432.22
CC10132,Vehicle,2008-2010,19939.74
CC10132,Advertising,2008-2010,1756886.93
CC10132,Professional Services,2008-2010,362731.41
CC10132,Office Supplies,2008-2010,26821.2
CC10132,Postage/Mailing,2008-2010,68248.61
CC10132,Travel & Lodging,2008-2010,72364.45
CC10132,Lease/Rent,2008-2010,164110.15
CC10132,Other,2008-2010,67413.42
CC10132,Food & Beverages,2008-2010,403955.31
CC10132,Bank Charges & Adjustments,2010-2012,663.65
CC10132,Insurance,2010-2012,680.42
CC10132,Printing,2010-2012,40.25
CC10132,Travel & Lodging,2010-2012,413.79
CC10132,Postage/Mailing,2010-2012,780
CC10132,Office Supplies,2010-2012,94.19
CC10132,Taxes,2010-2012,6801.92
CC10132,Other,2010-2012,1961.65
CC10132,Lease/Rent,2010-2012,4957.66
CC10132,Utilities,2010-2012,3222.2
CC10132,Professional Services,2010-2012,174.28
CC10132,Food & Beverages,2010-2012,3204.48
CC10132,Filing Fee,2012-2014,75
CC10132,Taxes,2012-2014,1759.25
CC10132,Insurance,2012-2014,1615.52
CC10132,Office Supplies,2012-2014,1070.02
CC10132,Lease/Rent,2012-2014,14367.29
CC10132,"Surveys, Polls & Voter Lists",2012-2014,8696.68
CC10132,Utilities,2012-2014,7689.17
CC10132,Other,2012-2014,3589.29
CC10132,Professional Services,2012-2014,21225.01
CC10132,Postage/Mailing,2012-2014,3404
CC10132,Food & Beverages,2012-2014,13255.24
CC10132,Contribution to Community Organization,2012-2014,50
CC10132,Advertising,2012-2014,159114.43
CC10132,Bank Charges & Adjustments,2012-2014,430.73
CC10132,Travel & Lodging,2012-2014,8508.18
CC10132,Printing,2012-2014,15272.56
CC10132,"Surveys, Polls & Voter Lists",2014-2016,6261.78
CC10132,Bank Charges & Adjustments,2014-2016,864.01
CC10132,Travel & Lodging,2014-2016,536.4
CC10132,Advertising,2014-2016,2134.82
CC10132,Other,2014-2016,1384.82
CC10132,Professional Services,2014-2016,460.51
CC10132,Utilities,2014-2016,4800.04
CC10132,Office Supplies,2014-2016,293.11
CC10132,Postage/Mailing,2014-2016,760.65
CC10132,Printing,2014-2016,112.99
CC10132,Bank Charges & Adjustments,2016-2018,155.88
CC10132,Postage/Mailing,2016-2018,178
CC10133,Other,2010-2012,42.93
CC10133,Postage/Mailing,2010-2012,21901.29
CC10133,Food & Beverages,2010-2012,2467.13
CC10133,Professional Services,2010-2012,13997.75
CC10133,Office Supplies,2010-2012,114.24
CC10133,Printing,2010-2012,23035.96
CC10133,Bank Charges & Adjustments,2010-2012,402.84
CC10133,Filing Fee,2012-2014,250
CC10133,Postage/Mailing,2012-2014,11644.22
CC10133,Professional Services,2012-2014,4387.11
CC10133,Bank Charges & Adjustments,2012-2014,464.99
CC10133,Printing,2012-2014,13659.26
CC10133,Other,2012-2014,890.05
CC10133,Food & Beverages,2012-2014,3250
CC10133,Bank Charges & Adjustments,2014-2016,26.95
CC10133,Professional Services,2014-2016,317.48
CC10133,Other,2014-2016,292.05
CC10134,Postage/Mailing,2006-2008,339
CC10134,Hawaii Election Campaign Fund,2006-2008,1000
CC10134,Printing,2006-2008,18488.16
CC10134,"Surveys, Polls & Voter Lists",2006-2008,444.73
CC10134,Advertising,2006-2008,5187.36
CC10134,Utilities,2006-2008,43.96
CC10134,Lease/Rent,2006-2008,250
CC10134,Professional Services,2006-2008,5445.11
CC10134,Durable Assets,2006-2008,8282.61
CC10134,Food & Beverages,2006-2008,6929.98
CC10134,Filing Fee,2006-2008,250
CC10134,Office Supplies,2006-2008,2722.5
CC10134,Other,2006-2008,3252.38
CC10134,Bank Charges & Adjustments,2006-2008,5
CC10134,Other,2008-2010,239.59
CC10134,Advertising,2008-2010,1040.99
CC10134,Professional Services,2008-2010,2967.26
CC10134,Food & Beverages,2008-2010,63.87
CC10134,Contribution to Community Organization,2008-2010,782.49
CC10134,Professional Services,2010-2012,3386.38
CC10134,Other,2010-2012,56100
CC10134,Contribution to Community Organization,2010-2012,12500
