Reg No,Candidate Name,Office,District,County,Party
CC11028,"Abbett, Richard",Hawaii Council,6,Hawaii,Non-Partisan
CC10496,"Abe, Michael ",House,19,,Democrat
CC10529,"Abercrombie, Neil",Governor,,,Democrat
CC10211,"Abinsay, Felipe (Jun)",House,29,,Democrat
CC10757,"Able, Johnathan ",House,5,,Non-Partisan
CC10499,"Agor, Ron ",Kauai Council,Kauai,Kauai,Non-Partisan
CC10314,"Agor, Ron ",Kauai Council,15,,Republican
CC11062,"Agustin, Jaci",House,34,,Republican
CC11035,"Ahu, Elwin",Lt. Governor,,,Republican
CC10864,"Ahu-Isa, Lei ",House,26,,Democrat
CC10432,"Ahu-Isa, Lei ",BOE                                               ,At-Large,,Non-Partisan
CC10967,"Ahuna, Daniel",OHA                                               ,Kauai,,Non-Partisan
CC10215,"Aila, William",Governor,,,Democrat
CC10434,"Aiona, Darrow ",BOE                                               ,Oahu,,Non-Partisan
CC10162,"Aiona, James (Duke)",Governor,,,Republican
CC10763,"Aiona, Joseph",House,49,,Republican
CC10133,"Aiona, Sam",Honolulu Council,6,Honolulu,Non-Partisan
CC10343,"Aipoalani, Hanalei ",House,44,,Democrat
CC10902,"Aipoalani, Hanalei",House,43,,Democrat
CC10966,"Akaka, Kaleihikina",House,6,,Democrat
CC10218,"Akana, Rowena",OHA                                               ,At-Large,,Non-Partisan
CC10531,"Akau, Paul ",Honolulu Council,3,Honolulu,Non-Partisan
CC10748,"Aki, Charles ",Senate,22,,Republican
CC10950,"Aki, Charles ",Senate,22,,Republican
CC10945,"Akina, William",OHA                                               ,At-Large,,Non-Partisan
CC10457,"Akuna, Janis ",BOE                                               ,3,,Non-Partisan
CC10756,"Akuna, Meiling ",House,13,,Republican
CC10972,"Alalem, Allen-Dean",OHA                                               ,Kauai,,Democrat
CC10228,"Alameida, Jeffrey ",House,46,,Republican
CC10929,"Albao, Liberta",OHA                                               ,Kauai,,Non-Partisan
CC10322,"Allen, Julia",House,20,,Republican
CC11005,"Amato, Terez",Senate,6,,Democrat
CC10630,"Amorin, Johanna ",House,11,,Democrat
CC10975,"Amorin, Johanna",OHA                                               ,Maui,,Independent
CC10991,"Amsterdam, C. Kaui Jochanan ",Honolulu Council,6,Honolulu,Republican
CC10472,"Anderson, J. Ikaika",Honolulu Council,3,Honolulu,Non-Partisan
CC10318,"Anderson, Michelle ",Maui Council,South Maui,Maui,Non-Partisan
CC10693,"Andres-Nance, Noela ",BOE                                               ,At-Large,,Non-Partisan
CC10416,"Antonio, Steven ",House,35,,Republican
CC11044,"Apana, James",House,9,,Democrat
CC10266,"Apana, James (Kimo) ",Mayor,,Maui,Democrat
CC10362,"Apana, Melvin ",House,38,,Republican
CC10947,"Apana, Melvin ",House,36,,Republican
CC10679,"Apana, Melvin ",House,38,,Republican
CC10737,"Apo, Peter",OHA                                               ,34,,Democrat
CC10134,"Apo, Todd",Honolulu Council,1,Honolulu,Non-Partisan
CC10822,"Apoliona, Suzanne Haunani ",OHA                                               ,At-Large,,Non-Partisan
CC10422,"Apoliona, Suzanne Haunani ",OHA                                               ,At-Large,,Non-Partisan
CC10375,"Aquino, Henry",House,38,,Democrat
CC11026,"Arakaki, Tracy",House,33,,Democrat
CC10283,"Arakawa, Alan",Mayor,,Maui,Non-Partisan
CC10878,"Araujo, Steven",Hawaii Council,5,Hawaii,Non-Partisan
CC11023,"Arianoff, Gregory ",Senate,1,,Libertarian
CC10790,"Arola, James ",BOE                                               ,5th Dept. (Leeward),,Non-Partisan
CC10812,"Ashida, Lincoln",Prosecuting Attorney,,Hawaii,Non-Partisan
CC10308,"Asing, William ",Kauai Council,At-Large,Kauai,Democrat
CC10893,"Au, Tiffany",House,26,,Republican
CC11000,"Awana, Karen",House,43,,Democrat
CC10346,"Awana, Karen",House,43,,Democrat
CC10356,"Baclig, Andy ",Hawaii Council,4,Hawaii,Non-Partisan
