Reg No,Expenditure Category,Election Period,Amount
CC10132,"Advertising, Media & Collateral Materials",2004-2008,1362096.91
CC10132,"Contract, Employee & Professional Services",2004-2008,203979.89
CC10132,Other,2004-2008,45359.07
CC10132,"Surveys, Polls, Research & Voter Lists",2004-2008,87558.91
CC10132,Insurance,2004-2008,4393.41
CC10132,"Filing Fee, Escheat, Fine",2004-2008,500.00
CC10132,Utilities,2004-2008,12195.48
CC10132,"Bank Charges, Merchant Fees & Adjustments",2004-2008,571.98
CC10132,Office Supplies,2004-2008,6579.06
CC10132,Postage/Mailing,2004-2008,69550.91
CC10132,Taxes & Insurance,2004-2008,26459.71
CC10132,"Vehicle, Gas & Parking",2004-2008,5000.10
CC10132,Food & Beverages,2004-2008,183894.43
CC10132,Hawaii Election Campaign Fund,2004-2008,2500.00
CC10132,Durable Assets (Supplies/Equipment),2004-2008,4431.30
CC10132,Campaign Headquarters,2004-2008,65009.60
CC10132,"Printing, Postage, Mailing & Freight",2004-2008,192392.77
CC10132,Travel & Lodging,2004-2008,3936.06
CC10132,Campaign Headquarters,2008-2010,164110.15
CC10132,Contribution to Political Party,2008-2010,1140.00
CC10132,Utilities,2008-2010,47851.79
CC10132,"Filing Fee, Escheat, Fine",2008-2010,750.00
CC10132,"Advertising, Media & Collateral Materials",2008-2010,1756886.93
CC10132,Donations,2008-2010,385.82
CC10132,"Bank Charges, Merchant Fees & Adjustments",2008-2010,4420.78
CC10132,Insurance,2008-2010,3931.98
CC10132,"Vehicle, Gas & Parking",2008-2010,19939.74
CC10132,Travel & Lodging,2008-2010,72364.45
CC10132,Durable Assets (Supplies/Equipment),2008-2010,8037.15
CC10132,Office Supplies,2008-2010,26821.20
CC10132,Hawaii Election Campaign Fund,2008-2010,250.00
CC10132,"Printing, Postage, Mailing & Freight",2008-2010,380432.22
CC10132,Other,2008-2010,67413.42
CC10132,Food & Beverages,2008-2010,403955.31
CC10132,"Contract, Employee & Professional Services",2008-2010,362731.41
CC10132,Postage/Mailing,2008-2010,68248.61
CC10132,Taxes & Insurance,2008-2010,15663.22
CC10132,"Surveys, Polls, Research & Voter Lists",2008-2010,197033.93
CC10132,Postage/Mailing,2010-2014,4184.00
CC10132,"Contract, Employee & Professional Services",2010-2014,21399.29
CC10132,Taxes & Insurance,2010-2014,8561.17
CC10132,"Printing, Postage, Mailing & Freight",2010-2014,15312.81
CC10132,"Filing Fee, Escheat, Fine",2010-2014,75.00
CC10132,"Bank Charges, Merchant Fees & Adjustments",2010-2014,1094.38
CC10132,"Surveys, Polls, Research & Voter Lists",2010-2014,8696.68
CC10132,Other,2010-2014,5550.94
CC10132,Donations,2010-2014,50.00
CC10132,Food & Beverages,2010-2014,16459.72
CC10132,Insurance,2010-2014,2295.94
CC10132,"Advertising, Media & Collateral Materials",2010-2014,159114.43
CC10132,Utilities,2010-2014,10911.37
CC10132,Travel & Lodging,2010-2014,8921.97
CC10132,Campaign Headquarters,2010-2014,19324.95
CC10132,Office Supplies,2010-2014,1164.21
CC10132,Office Supplies,2014-2016,293.11
CC10132,Postage/Mailing,2014-2016,760.65
CC10132,"Printing, Postage, Mailing & Freight",2014-2016,112.99
CC10132,Travel & Lodging,2014-2016,536.40
CC10132,"Bank Charges, Merchant Fees & Adjustments",2014-2016,864.01
CC10132,Utilities,2014-2016,4800.04
CC10132,"Contract, Employee & Professional Services",2014-2016,460.51
CC10132,Other,2014-2016,1384.82
CC10132,"Advertising, Media & Collateral Materials",2014-2016,2134.82
CC10132,"Surveys, Polls, Research & Voter Lists",2014-2016,6261.78
CC10132,"Filing Fee, Escheat, Fine",2016-2020,108.33
CC10132,Food & Beverages,2016-2020,906.30
CC10132,"Bank Charges, Merchant Fees & Adjustments",2016-2020,960.82
CC10132,"Advertising, Media & Collateral Materials",2016-2020,579880.39
CC10132,"Printing, Postage, Mailing & Freight",2016-2020,605.78
CC10132,Refund,2016-2020,5000.00
CC10132,"Contract, Employee & Professional Services",2016-2020,13420.07
CC10132,Office Supplies,2016-2020,373.68
CC10132,Durable Assets (Supplies/Equipment),2016-2020,607.32
CC10132,Membership & Subscription Fees,2016-2020,89.94
CC10132,"Vehicle, Gas & Parking",2016-2020,187.54
CC10132,"Surveys, Polls, Research & Voter Lists",2016-2020,375.00
CC10132,Postage/Mailing,2016-2020,890.00
CC10132,"Printing, Postage, Mailing & Freight",2020-2024,366.00
CC10132,"Contract, Employee & Professional Services",2020-2024,611.34
CC10132,"Bank Charges, Merchant Fees & Adjustments",2020-2024,41.93
CC10132,"Advertising, Media & Collateral Materials",2020-2024,49.84
CC10132,Membership & Subscription Fees,2020-2024,328.30
CC10133,"Contract, Employee & Professional Services",2008-2012,13997.75
CC10133,Postage/Mailing,2008-2012,21901.29
CC10133,Office Supplies,2008-2012,114.24
CC10133,"Bank Charges, Merchant Fees & Adjustments",2008-2012,402.84
CC10133,Food & Beverages,2008-2012,2467.13
CC10133,Other,2008-2012,42.93
CC10133,"Printing, Postage, Mailing & Freight",2008-2012,23035.96
CC10133,"Bank Charges, Merchant Fees & Adjustments",2012-2014,464.99
CC10133,Food & Beverages,2012-2014,3250.00
CC10133,"Contract, Employee & Professional Services",2012-2014,4387.11
CC10133,Postage/Mailing,2012-2014,11644.22
CC10133,Other,2012-2014,890.05
CC10133,"Printing, Postage, Mailing & Freight",2012-2014,13659.26
CC10133,"Filing Fee, Escheat, Fine",2012-2014,250.00
CC10133,"Contract, Employee & Professional Services",2014-2018,317.48
CC10133,"Bank Charges, Merchant Fees & Adjustments",2014-2018,26.95
CC10133,Other,2014-2018,292.05
CC10134,"Advertising, Media & Collateral Materials",2004-2008,5187.36
CC10134,"Bank Charges, Merchant Fees & Adjustments",2004-2008,5.00
CC10134,Utilities,2004-2008,43.96
CC10134,"Printing, Postage, Mailing & Freight",2004-2008,18488.16
CC10134,Campaign Headquarters,2004-2008,250.00
CC10134,Durable Assets (Supplies/Equipment),2004-2008,8282.61
CC10134,"Surveys, Polls, Research & Voter Lists",2004-2008,444.73
CC10134,Office Supplies,2004-2008,2722.50
CC10134,Postage/Mailing,2004-2008,339.00
CC10134,"Filing Fee, Escheat, Fine",2004-2008,250.00
CC10134,Food & Beverages,2004-2008,6929.98
CC10134,Other,2004-2008,3252.38
CC10134,Hawaii Election Campaign Fund,2004-2008,1000.00
CC10134,"Contract, Employee & Professional Services",2004-2008,5445.11
CC10134,Donations,2008-2012,13282.49
CC10134,Food & Beverages,2008-2012,63.87
CC10134,"Contract, Employee & Professional Services",2008-2012,6353.64
CC10134,Other,2008-2012,56339.59
CC10134,"Advertising, Media & Collateral Materials",2008-2012,1040.99
CC10134,"Contract, Employee & Professional Services",2012-2016,825.00
CC10134,Hawaii Election Campaign Fund,2012-2016,2875.00
CC10134,Donations,2012-2016,4000.00
CC10134,Other,2012-2016,2000.00
CC10135,"Surveys, Polls, Research & Voter Lists",2004-2008,12722.72
CC10135,"Printing, Postage, Mailing & Freight",2004-2008,3645.49
CC10135,"Bank Charges, Merchant Fees & Adjustments",2004-2008,31.00
CC10135,Donations,2004-2008,1120.00
CC10135,Food & Beverages,2004-2008,9067.91
CC10135,Other,2004-2008,8887.62
CC10135,Utilities,2004-2008,168.04
CC10135,Contribution to Political Party,2004-2008,500.00
CC10135,"Filing Fee, Escheat, Fine",2004-2008,258.00
CC10135,"Advertising, Media & Collateral Materials",2004-2008,38855.34
CC10135,Campaign Headquarters,2004-2008,1509.42
CC10135,"Contract, Employee & Professional Services",2004-2008,96429.40
CC10135,"Vehicle, Gas & Parking",2004-2008,5425.15
CC10135,Office Supplies,2004-2008,1291.81
CC10135,Candidate Fundraiser Tickets,2004-2008,200.00
CC10135,Postage/Mailing,2004-2008,1275.92
CC10135,Travel & Lodging,2004-2008,1689.98
CC10135,Other,2008-2012,7300.01
CC10135,Campaign Headquarters,2008-2012,698.67
CC10135,"Bank Charges, Merchant Fees & Adjustments",2008-2012,61.97
CC10135,"Filing Fee, Escheat, Fine",2008-2012,258.00
CC10135,"Vehicle, Gas & Parking",2008-2012,3583.03
CC10135,"Contract, Employee & Professional Services",2008-2012,42141.92
CC10135,"Printing, Postage, Mailing & Freight",2008-2012,1139.53
CC10135,Donations,2008-2012,4445.00
CC10135,Office Supplies,2008-2012,1989.85
CC10135,Postage/Mailing,2008-2012,738.13
CC10135,Travel & Lodging,2008-2012,3144.75
CC10135,Candidate Fundraiser Tickets,2008-2012,2750.00
CC10135,"Advertising, Media & Collateral Materials",2008-2012,16264.42
CC10135,Food & Beverages,2008-2012,16831.08
CC10135,"Surveys, Polls, Research & Voter Lists",2008-2012,1000.00
CC10135,Contribution to Political Party,2008-2012,2555.00
CC10135,Office Supplies,2012-2014,1110.18
CC10135,Campaign Headquarters,2012-2014,1347.90
CC10135,Travel & Lodging,2012-2014,354.40
CC10135,"Filing Fee, Escheat, Fine",2012-2014,260.00
CC10135,Postage/Mailing,2012-2014,13165.10
CC10135,"Printing, Postage, Mailing & Freight",2012-2014,1583.70
CC10135,Other,2012-2014,4326.13
CC10135,Food & Beverages,2012-2014,12475.66
CC10135,"Bank Charges, Merchant Fees & Adjustments",2012-2014,7.00
CC10135,"Vehicle, Gas & Parking",2012-2014,2894.49
CC10135,"Surveys, Polls, Research & Voter Lists",2012-2014,22382.19
CC10135,Candidate Fundraiser Tickets,2012-2014,6500.00
CC10135,"Advertising, Media & Collateral Materials",2012-2014,45199.82
CC10135,Contribution to Political Party,2012-2014,4000.00
CC10135,"Contract, Employee & Professional Services",2012-2014,56768.01
CC10135,Donations,2012-2014,3345.00
CC10135,"Contract, Employee & Professional Services",2014-2018,69424.82
CC10135,"Printing, Postage, Mailing & Freight",2014-2018,139.99
CC10135,Donations,2014-2018,9417.06
CC10135,"Vehicle, Gas & Parking",2014-2018,1070.34
CC10135,Food & Beverages,2014-2018,17871.64
CC10135,"Filing Fee, Escheat, Fine",2014-2018,250.00
CC10135,Candidate Fundraiser Tickets,2014-2018,9365.00
CC10135,"Advertising, Media & Collateral Materials",2014-2018,90510.75
CC10135,Postage/Mailing,2014-2018,14399.73
CC10135,Other,2014-2018,7985.14
CC10135,Campaign Headquarters,2014-2018,3618.76
CC10135,"Surveys, Polls, Research & Voter Lists",2014-2018,14010.20
CC10135,"Bank Charges, Merchant Fees & Adjustments",2014-2018,168.26
CC10135,Contribution to Political Party,2014-2018,2927.98
CC10135,Office Supplies,2014-2018,653.97
CC10135,Travel & Lodging,2014-2018,1061.21
CC10135,"Contract, Employee & Professional Services",2018-2022,1582.49
CC10135,Contribution to Political Party,2018-2022,2801.50
CC10135,Other,2018-2022,119.88
CC10135,Donations,2018-2022,9306.25
CC10135,Campaign Headquarters,2018-2022,2662.42
CC10135,Events & Activities,2018-2022,2095.04
CC10135,Candidate Fundraiser Tickets,2018-2022,3875.00
CC10135,"Printing, Postage, Mailing & Freight",2018-2022,395.83
CC10135,"Advertising, Media & Collateral Materials",2018-2022,7996.81
CC10135,Hawaii Election Campaign Fund,2018-2022,1178.80
CC10135,"Bank Charges, Merchant Fees & Adjustments",2018-2022,6.65
CC10136,Postage/Mailing,2004-2008,3659.60
CC10136,Campaign Headquarters,2004-2008,108.00
CC10136,"Advertising, Media & Collateral Materials",2004-2008,3159.16
CC10136,"Printing, Postage, Mailing & Freight",2004-2008,1536.13
CC10136,Other,2004-2008,480.00
CC10136,Donations,2004-2008,710.76
CC10136,Contribution to Political Party,2004-2008,2150.00
CC10136,Durable Assets (Supplies/Equipment),2004-2008,4719.11
CC10136,Food & Beverages,2004-2008,1314.90
CC10136,Office Supplies,2004-2008,99.44
CC10136,Travel & Lodging,2008-2010,4903.39
CC10136,Donations,2008-2010,1416.00
CC10136,"Filing Fee, Escheat, Fine",2008-2010,750.00
CC10136,Campaign Headquarters,2008-2010,1077.26
CC10136,"Printing, Postage, Mailing & Freight",2008-2010,50940.34
CC10136,Food & Beverages,2008-2010,14039.96
CC10136,Office Supplies,2008-2010,366.21
CC10136,Other,2008-2010,7974.75
CC10136,Postage/Mailing,2008-2010,971.36
CC10136,"Contract, Employee & Professional Services",2008-2010,110346.50
CC10136,"Advertising, Media & Collateral Materials",2008-2010,255780.24
CC10136,"Surveys, Polls, Research & Voter Lists",2008-2010,5130.89
CC10136,"Bank Charges, Merchant Fees & Adjustments",2010-2014,195.00
CC10136,Campaign Headquarters,2010-2014,116.00
CC10136,Other,2010-2014,300.00
CC10136,"Advertising, Media & Collateral Materials",2010-2014,15.00
CC10136,"Filing Fee, Escheat, Fine",2014-2018,250.00
CC10136,Candidate Fundraiser Tickets,2014-2018,8000.00
CC10136,Postage/Mailing,2014-2018,35135.31
CC10136,"Bank Charges, Merchant Fees & Adjustments",2014-2018,109.05
CC10136,"Printing, Postage, Mailing & Freight",2014-2018,34383.71
CC10136,"Contract, Employee & Professional Services",2014-2018,69616.46
CC10136,Hawaii Election Campaign Fund,2014-2018,166.67
CC10136,Campaign Headquarters,2014-2018,500.00
CC10136,Other,2014-2018,3161.41
CC10136,Donations,2014-2018,1237.50
CC10136,"Advertising, Media & Collateral Materials",2014-2018,55238.87
CC10136,Food & Beverages,2014-2018,16504.76
CC10136,"Surveys, Polls, Research & Voter Lists",2014-2018,26034.00
CC10136,Donations,2018-2022,9500.00
CC10136,"Printing, Postage, Mailing & Freight",2018-2022,216.00
CC10136,Candidate Fundraiser Tickets,2018-2022,9000.00
CC10136,Other,2018-2022,22300.00
CC10136,"Bank Charges, Merchant Fees & Adjustments",2018-2022,38.33
CC10136,Campaign Headquarters,2018-2022,406.00
CC10137,"Advertising, Media & Collateral Materials",2004-2008,20582.50
CC10137,Donations,2004-2008,1550.00
CC10137,"Bank Charges, Merchant Fees & Adjustments",2004-2008,513.00
CC10137,"Filing Fee, Escheat, Fine",2004-2008,250.00
CC10137,Candidate Fundraiser Tickets,2004-2008,4000.00
CC10137,Food & Beverages,2004-2008,13481.70
CC10137,"Printing, Postage, Mailing & Freight",2004-2008,12404.33
CC10137,Other,2004-2008,13325.50
CC10137,Insurance,2004-2008,1508.00
CC10137,Office Supplies,2004-2008,1316.47
CC10137,Durable Assets (Supplies/Equipment),2004-2008,35157.20
CC10137,Postage/Mailing,2004-2008,32285.49
CC10137,"Contract, Employee & Professional Services",2004-2008,11308.89
CC10137,"Vehicle, Gas & Parking",2004-2008,7206.09
CC10137,Contribution to Political Party,2004-2008,250.00
CC10137,Other,2010-2012,5850.83
CC10137,"Printing, Postage, Mailing & Freight",2010-2012,6326.48
CC10137,Office Supplies,2010-2012,1144.92
CC10137,Travel & Lodging,2010-2012,33.00
CC10137,Donations,2010-2012,490.00
CC10137,Postage/Mailing,2010-2012,11430.57
CC10137,"Contract, Employee & Professional Services",2010-2012,8769.41
CC10137,"Vehicle, Gas & Parking",2010-2012,7131.09
CC10137,"Advertising, Media & Collateral Materials",2010-2012,20749.90
CC10137,Food & Beverages,2010-2012,6408.13
CC10137,"Bank Charges, Merchant Fees & Adjustments",2010-2012,276.52
CC10137,"Advertising, Media & Collateral Materials",2012-2014,2409.82
CC10137,"Vehicle, Gas & Parking",2012-2014,7578.91
CC10137,Postage/Mailing,2012-2014,4325.65
CC10137,"Printing, Postage, Mailing & Freight",2012-2014,3853.58
CC10137,Donations,2012-2014,1499.37
CC10137,Food & Beverages,2012-2014,3078.44
CC10137,"Filing Fee, Escheat, Fine",2012-2014,250.00
CC10137,"Contract, Employee & Professional Services",2012-2014,20063.35
